acc_x,acc_y,acc_z
-0.199,-0.266,0.026
-0.156,0.035,-0.165
-0.051,-0.006,-0.447
-0.085,0.065,0.041
-0.137,-0.081,0.041
-0.105,-0.041,-0.219
0.266,-0.056,0.067
-0.06,-0.332,0.477
0.027,0.193,-0.251
0.407,0.018,0.041
-0.31,-0.209,0.15
-0.407,0.475,-0.443
-0.468,-0.035,-0.303
0.165,0.798,-1.273
-1.614,-0.66,-0.277
0.328,0.701,-0.316
0.306,-1.097,-1.02
3.239,-0.458,-3.055
-1.578,0.936,-1.398
-7.803,7.109,3.171
8.614,1.399,-3.604
-0.616,1.904,-1.77
0.222,1.032,-0.47
-0.1,2.163,0.076
0.303,0.998,2.308
-0.036,1.299,1.643
-0.196,-0.849,2.62
-0.464,-1.652,3.552
0.344,-2.888,4.191
0.716,-2.842,7.931
1.29,1.844,9.913
3.743,6.798,8.284
11.643,6.731,10.643
3.999,22.529,15.917
6.733,13.206,4.45
-5.018,35.865,-3.099
10.165,6.898,-8.473
-15.671,10.197,-17.999
-5.312,2.036,-3.139
-2.451,1.931,-2.611
1.058,1.288,-0.916
1.013,0.686,-0.4
1.654,0.651,0.985
0.51,0.414,-0.009
0.489,0.094,0.49
0.124,0.468,0.994
-0.579,0.653,0.172
-0.14,0.471,0.327
-0.957,0.367,-0.028
0.013,0.489,0.219
-0.339,0.282,0.202
0.229,0.196,0.11
0.094,0.335,-0.255
-0.562,0.037,-0.079
0.165,0.379,-0.149
-0.686,0.538,-0.236
-0.361,0.558,0.1
-1.146,1.046,-0.595
0.083,1.189,-0.655
-2.048,0.096,0.059
0.344,-0.108,0.232
-0.289,1.552,-0.399
0.124,-0.265,0.448
-0.276,-0.921,1.211
1.19,1.284,-0.516
-1.581,-0.365,0.836
-0.697,1.801,0.469
0.365,-0.152,0.229
-0.887,0.623,0.896
2.003,0.204,-1.248
-1.873,-0.028,1.507
1.223,-0.363,0.306
-0.454,0.049,0.602
0.898,0.412,0.489
-1.399,-0.589,-0.116
1.127,1.654,1.682
0.24,-1.043,0.642
-0.178,-0.33,0.435
0.38,0.617,-0.347
1.16,-0.745,0.394
-0.496,2.08,0.092
-0.411,-0.445,-0.027
0.946,-0.862,-0.158
-1.75,1.049,0.52
-0.02,0.711,-1.103
-0.169,-0.257,-0.454
-0.657,-0.04,0.294
-0.347,0.11,-0.531
-0.7,0.147,-0.273
-0.05,0.106,-0.258
-0.41,-0.438,0.118
0.389,0.317,-0.564
-1.703,0.062,-0.186
-0.577,1.03,-1.38
-0.96,1.008,-0.205
0.784,0.033,-1.893
1.826,-0.348,-0.715
-2.144,0.78,-0.319
3.433,-1.31,-0.859
-1.553,0.083,-1.133
0.075,1.049,-1.361
-0.836,1.211,0.617
-0.408,1.281,0.846
-0.774,0.963,0.877
-0.594,0.31,1.349
0.318,0.511,1.102
0.538,-1.165,1.704
0.555,-1.758,2.234
-0.558,-1.039,2.316
2.317,0.308,8.453
0.32,5.384,7.239
10.236,2.058,12.018
5.686,7.148,13.765
-3.159,22.663,5.746
20.589,26.198,12.332
2.549,13.48,-13.621
-9.328,11.034,-12.551
-5.972,2.037,-2.695
-1.356,1.69,-0.999
-1.964,1.377,-0.613
-0.406,0.774,0.515
-0.551,0.408,0.323
-0.878,1.186,-0.136
-0.733,0.844,0.126
0.814,-0.382,1.112
0.392,0.786,0.545
0.184,0.253,0.428
0.156,0.395,0.229
0.125,0.34,0.373
-0.056,0.574,0.057
-0.042,0.164,0.535
0.336,0.067,-0.133
-0.207,0.359,0.269
-0.477,0.09,-0.002
0.097,0.472,0.222
-0.32,0.101,0.001
-0.267,0.352,0.322
-0.328,0.242,-0.302
-0.821,0.622,-0.001
-0.809,1.047,-0.544
-0.72,0.536,-0.174
-1.035,-0.039,-0.723
0.161,0.5,-0.342
-0.232,-0.028,-0.314
-0.165,1.033,-0.045
0.902,0.658,-0.276
-1.597,-0.356,0.844
