acc_x,acc_y,acc_z
0.062,-0.088,-0.23
-0.321,0.038,-0.159
-0.195,0.181,-0.381
-0.376,-0.09,-0.12
-0.484,-0.037,-0.108
0.328,0.28,-0.26
-0.135,0.002,-0.302
0.064,-0.041,0.209
0.184,0.053,-0.107
-0.291,-0.133,-0.053
0.127,-0.121,0.195
0.026,-0.075,0.082
-0.177,0.135,-0.209
-0.042,-0.095,-0.025
-0.202,-0.061,0.04
2.262,2.399,-1.959
7.633,-7.514,8.509
7.443,-2.527,6.681
-0.999,0.591,-1.129
-1.554,14.259,-0.616
-1.894,8.422,4.902
-3.344,3.978,-4.901
-5.102,3.538,-5.223
-5.737,1.543,-1.027
-0.795,0.276,-1.031
0.681,-0.472,-0.315
0.118,-0.105,-0.007
0.333,-0.378,-0.406
-0.96,-0.042,-0.034
-0.128,0.372,-0.171
-0.268,-0.758,-0.385
-2.363,0.692,-0.542
-1.603,-0.361,-0.088
-0.461,-0.175,-0.095
-0.929,1.8,-0.564
-0.974,1.31,0.47
-0.035,0.042,-0.312
1.178,-0.054,-0.257
-0.166,-0.512,1.467
1.815,0.119,0.716
2.668,-0.537,1.055
3.519,-0.58,2.035
-0.077,-1.635,1.839
1.506,-0.658,1.208
-0.048,0.075,1.062
-0.092,-0.315,0.285
0.435,-0.789,-0.103
0.874,-1.207,0.069
-0.211,-0.043,0.245
4.413,0.458,-0.232
-2.739,2.397,-1.001
2.282,0.086,-1.803
-2.205,0.786,-0.814
-1.045,0.469,-0.601
-0.617,-0.024,0.037
-0.063,-0.397,-0.274
0.052,0.262,0.052
-0.144,-0.351,0.234
-0.149,-0.167,0.396
0.042,0.193,-0.268
-0.031,0.001,-0.504
-0.5,0.291,-0.238
1.23,0.922,2.457
3.094,0.761,2.707
5.776,-3.483,11.043
1.353,2.03,2.782
1.579,35.06,-6.366
9.526,4.726,5.913
-1.72,-1.391,-5.969
-1.68,0.579,0.478
-0.344,-0.241,-1.531
1.393,-0.162,0.523
0.123,0.194,-0.082
0.288,-0.267,0.742
0.025,-0.41,0.259
-0.251,-0.07,0.15
0.173,-0.424,-0.275
-0.247,-0.039,0.218
-0.163,0.316,-0.024
-1.09,0.825,-0.898
0.589,0.344,-0.025
-1.275,-0.328,-0.194
-0.004,0.296,-0.294
-0.557,0.806,-0.3
0.275,-0.124,-0.608
0.009,0.226,0.388
-0.423,-1.084,0.321
1.286,0.372,-0.017
0.205,-0.887,0.456
-1.304,0.04,0.176
2.497,-0.454,0.241
-0.711,-0.124,1.152
1.54,-0.816,0.736
-0.937,0.256,0.511
0.194,-0.377,0.388
0.1,0.188,1.137
-0.006,-0.318,0.439
0.496,0.254,1.28
0.495,-0.797,0.928
0.415,0.423,1.226
-0.317,0.413,-0.249
1.129,0.64,0.82
1.123,-0.425,0.098
0.178,-0.249,0.101
-0.91,0.565,0.035
-0.123,0.035,-0.367
-0.577,0.147,-0.501
0.104,0.435,-0.687
-0.41,0.088,-0.083
-0.372,-0.003,0.068
-0.03,-0.048,-0.113
-0.174,-0.007,-0.048
-0.431,-0.04,-0.08
0.943,0.066,0.135
0.841,-0.001,-1.195
0.529,0.965,1.828
7.494,-2.683,5.457
5.294,-5.87,6.93
5.855,-0.419,4.753
1.279,0.695,-2.131
-17.152,16.105,5.997
