acc_x,acc_y,acc_z
0.484,-0.414,1.925
1.06,-0.406,1.022
0.75,0.326,1.307
-1.312,0.469,1.029
0.531,0.548,0.226
-0.148,-0.72,0.506
0.394,-1.153,0.563
1.202,1.002,1.551
0.266,1.175,0.219
-0.771,-0.272,0.072
-0.545,0.31,-0.283
-0.143,0.198,-0.413
-0.151,0.272,-0.435
-0.067,0.213,-0.4
-0.405,-0.008,0.044
0.053,0.166,-0.047
0.119,-0.036,-0.257
-0.35,0.045,0.164
0.15,-0.069,-0.058
-0.236,-0.083,0.007
-0.109,-0.048,-0.431
-0.231,-0.039,0.065
-0.374,0.16,-0.315
-0.449,0.223,-1.21
3.472,0.906,1.754
2.614,-0.153,5.357
3.555,-1.54,5.118
4.751,-0.549,7.691
-0.275,-7.287,4.789
-10.007,22.798,-0.127
4.753,6.937,2.099
-7.712,4.433,-8.029
-5.579,2.087,-2.49
-2.613,0.529,-2.194
-1.095,0.678,-1.538
-0.674,-0.187,0.058
0.346,-0.552,-0.625
1.033,-0.271,0.366
1.033,-0.639,0.123
0.322,-0.35,0.215
0.654,-0.127,0.052
-0.164,-0.746,-0.073
0.12,-0.072,0.186
-0.306,0.016,-0.053
-0.913,0.112,-0.224
0.047,0.021,0.083
-0.89,0.294,-0.027
-0.518,-0.09,-0.451
-0.416,0.544,-0.212
-1.045,-0.05,-0.507
0.038,-0.539,-0.158
-0.77,0.775,-0.598
-0.964,0.376,0.115
-0.277,-0.308,0.456
-0.063,-0.117,-0.449
0.014,-0.305,-0.056
0.088,-0.586,1.059
1.573,-0.39,0.484
0.197,-0.928,0.37
1.011,-1.37,1.108
0.91,0.179,0.741
0.652,-0.506,0.731
0.235,0.093,1.284
0.706,-0.431,0.827
0.952,0.127,0.946
-0.138,-0.914,0.79
0.807,0.317,0.797
0.308,-0.271,0.335
-0.571,0.047,0.198
1.364,-0.203,0.278
1.801,0.109,1.714
0.059,0.808,-0.185
0.117,0.286,-0.545
-1.357,0.336,-0.34
-0.025,0.155,-0.773
-0.301,0.286,-0.494
-0.33,0.214,-0.014
0.104,-0.148,-0.178
-0.168,-0.116,0.117
-0.193,-0.122,-0.093
-0.292,-0.029,-0.019
-0.059,0.085,0.007
0.085,-0.045,-0.131
0.031,0.059,0.024
-0.932,0,-0.361
-0.158,0.704,0.556
4.199,0.223,-0.271
3.096,0.5,4.758
4.748,-1.82,6.038
4.414,-3.845,6.068
0.884,-3.026,0.651
-11.537,20.517,-0.081
2.261,4.636,6.762
-9.246,2.987,-7.013
-1.667,2.071,-1.598
-2.894,0.28,-1.378
-1.295,0.103,-1.086
0.148,0.628,-0.047
-0.49,0.064,-0.964
0.418,-0.33,0.121
0.538,-0.027,-0.023
-0.173,-0.233,-0.088
-0.195,0.024,-0.307
0.522,-0.368,0.034
-0.711,-0.19,0.059
0.144,-0.189,0.078
-0.125,0.059,-0.169
0.047,-0.059,-0.275
0.26,-0.011,-0.225
-0.747,0.527,-0.657
-0.716,0.515,-0.537
-0.749,-0.012,-0.317
-0.282,0.063,-0.382
-0.858,-0.963,-0.216
-0.304,0.82,-0.611
-0.155,0.431,-0.405
-1.123,-0.126,0.242
0.11,0.732,-0.584
-0.663,-0.414,-0.174
1.539,0.079,0.306
0.077,-0.876,0.528
1.8,-0.242,1.238
0.305,-0.813,1.094
0.367,-0.336,1.007
1.638,0.525,0.975
-0.062,-0.302,1.085
0.603,-0.319,1.096
0.699,-0.236,1.071
0.26,-0.459,1.103
0.909,-0.113,1.535
0.203,-0.529,0.535
-1.561,-0.678,-0.139
0.083,0.891,-1.662
0.902,0.669,0.696
-1.525,0.278,-0.02
0.074,0.346,-0.285
-0.521,0.126,0.195
-0.479,0.136,-0.434
-0.709,0.414,-0.939
0.115,0.365,-0.614
-0.168,-0.089,-0.167
-0.165,0.154,-0.046
-0.245,-0.058,-0.2
-0.245,0.129,-0.324
-0.397,-0.039,-0.134
0.136,-0.111,-0.191
-0.064,0.06,-0.004
-0.045,-0.138,-0.091
0.038,-0.017,-0.005
0.193,0.086,-0.072
-0.119,-0.027,-0.226
-0.299,-0.007,0.054
-0.576,-0.012,-0.34
0.07,0.621,-1.009
1.615,0.654,1.256
1.078,0.949,-0.279
-0.604,0.942,2.501
3.513,-1.421,4.602
2.846,-2.664,5.082
2.897,-1.131,5.18
2.402,-2.62,1.882
-3.902,14.604,-0.781
-5.288,7.682,1.943
-5.401,5.085,-4.738
-5.92,3.011,-4.191
-1.924,1.354,-1.442
-0.841,-0.362,-1.344
-0.919,-0.381,-0.665
-0.214,-0.517,-0.659
-0.336,-0.642,0.77
0.483,-0.358,0.208
-0.128,-0.54,0.049
0.131,-0.042,-0.007
0.056,-0.234,-0.165
-0.243,-0.141,-0.013
-0.568,0.28,-0.096
-0.459,0.297,-0.605
-0.963,0.169,-0.171
0.157,0.795,-0.666
-1.804,-0.987,-0.141
0.659,0.933,-0.311
0.526,-0.846,-0.868
-1.598,-0.427,-0.037
0.801,1.167,-1.129
-0.765,-0.511,0.444
-0.761,0.748,0.031
0.849,-0.596,-0.207
-0.751,-0.034,1.441
1.787,-0.717,-0.115
-0.689,-0.67,1.61
1.491,0.387,2.859
-0.422,-0.584,1.636
2.744,0.119,1.655
-0.894,-0.801,2.247
1.318,-0.596,0.189
0.719,-0.162,0.973
-0.341,-0.37,0.558
0.456,0.091,-0.111
-0.087,-0.487,-0.022
2.7,0.173,0.333
-0.887,0.252,-0.29
-0.663,0.63,-1.196
0.218,1.204,-1.005
0.13,0.23,-0.715
-0.444,-0.222,-0.429
-0.778,0.816,-0.203
-0.073,-0.109,-0.359
-0.511,0.628,-0.368
0.03,0.41,-0.266
-1.088,-0.035,0.123
0.214,0.057,-0.072
-0.107,-0.099,-0.045
-0.379,-0.109,0.163
-0.071,-0.151,0.056
0.155,-0.535,-0.167
0.531,0.338,0.104
-0.257,-0.079,-0.092
0.057,-0.08,0.056
0.12,0.432,-0.146
-0.409,0.313,-0.821
-1.32,0.148,-0.366
