acc_x,acc_y,acc_z
-0.17,0.146,-0.257
-0.302,0.401,-0.224
0.231,-0.286,-0.034
-0.152,-0.302,0.404
0.862,-0.339,0.292
0.047,0.029,0.271
-0.338,-0.007,-0.06
-0.855,0.022,-0.176
-0.444,-0.002,-0.028
-0.742,0.441,0.554
-0.08,0.091,-0.312
0.427,-1.109,-0.245
1.652,-0.091,0.561
0.327,-0.072,-0.041
2.163,-1.371,0.525
14.064,-21.686,20.513
-2.557,2.261,-0.932
9.375,46.694,21.359
-14.128,24.786,-4.611
-10.017,14.789,-13.238
-3.647,3.514,-6.219
-3.628,1.953,-0.45
-1.429,1.042,-0.023
0.188,1.529,-0.274
-0.561,-0.115,-0.394
-1.232,0.946,0.324
-1.144,2.886,-1.019
-0.323,2.42,0.079
-2.435,0.364,0.757
3.137,1.577,-1.699
-0.179,0.856,1.384
2.429,-2,2.829
1.69,-1.347,2.541
-0.542,-1.253,2.785
2.174,-0.755,0.687
1.123,-0.824,0.117
-0.663,-0.718,-0.039
-0.762,-0.277,-0.478
-1.638,0.292,-0.054
-1.541,0.66,-0.111
-0.96,0.236,0.667
0.211,0.722,0.926
-0.151,0.038,0.318
0,-0.237,0.636
-0.268,-0.202,0.402
-1.05,3.747,1.387
0.618,-0.018,0.515
0.701,-0.299,0.452
-0.89,0.372,0.22
-0.111,-0.869,0.499
0.549,-0.436,0.565
0.048,0.089,-0.046
0.126,0.268,-0.208
0.255,0.03,-0.122
-0.149,-0.084,-0.044
-0.14,0.07,0.089
0.012,0.079,-0.183
0.062,-0.219,0.073
-0.032,-0.008,-0.079
-0.015,0.082,-0.083
-0.388,0.094,-0.369
0.346,0.004,0.295
0.222,0.082,0.023
0.013,0.101,-0.256
0.006,-0.007,0.09
0.208,0.134,-0.232
0.009,0.045,-0.056
-0.008,0.075,0.009
-0.116,-0.091,0.081
-0.263,-0.111,0.072
0.05,0.198,0.027
0.241,-0.194,-0.026
0.085,0.113,0.013
0.022,-0.052,0.119
0.175,0.14,0.039
-0.045,0.02,0.033
-0.113,-0.052,-0.153
-0.226,0.169,0.171
0.064,-0.101,-0.115
0.074,0.002,-0.012
-0.168,0.15,-0.066
0.063,-0.105,0.088
0.027,0.099,-0.187
0.189,0.025,0.001
0.554,-0.092,-0.475
-0.284,0.475,0.141
